target,O2_1,O2_2,O2_3,O2_4,O2_5,O2_6,O2_7,NH4_1,NH4_2,NH4_3,NH4_4,NH4_5,NH4_6,NH4_7,NO2_1,NO2_2,NO2_3,NO2_4,NO2_5,NO2_6,NO2_7,NO3_1,NO3_2,NO3_3,NO3_4,NO3_5,NO3_6,NO3_7,BOD5_1,BOD5_2,BOD5_3,BOD5_4,BOD5_5,BOD5_6,BOD5_7
8.59,0.1597444089456869,0.13646702047005307,0.3870833333333334,0.3571794871794872,0.13361486486486487,0.2097536700671809,0.449685534591195,0.03827751196172249,0.05027932960893854,0.036818339701285174,0.30641488356105534,0.0016518178260133704,0.46917808219178075,0.14795918367346939,0.03157894736842105,0.018795386586928663,0.031219512195121955,0.5927318295739348,0.12380382775119617,0.035897435897435895,0.2639810426540284,0.014035087719298246,0.14177693761814744,0.07188940092165899,0.66070489216202,0.1403478658885456,0.08886476426799007,0.0666049953746531,0.38176895306859204,0.28847422486099333,0.5179419525065964,0.1581264637002342,0.1818351361432301,0.2833096628267845,0.9999999999999999
9.1,0.2882428115015974,0.620166793025019,0.32249999999999995,0.3571794871794872,0.09822635135135135,0.2505598407564071,0.449685534591195,0.2600478468899521,0.2812849162011173,0.12004168113928448,0.17987883475122457,0.003744274667851401,0.08675799086757992,0.15227629513343802,0.09368421052631579,0.5783853054250321,0.031219512195121955,0.6142857142857142,0.16913875598086123,0.035897435897435895,0.08530805687203791,0.08235087719298245,0.48251417769376187,0.09654377880184332,0.66070489216202,0.5723194873555326,0.4920905707196029,0.28473635522664204,0.3592057761732852,0.6465931580435398,0.06279683377308706,0.059484777517564404,0.046064901156284956,0.13602651096733473,0.0718358038768529
8.21,0.07902023429179979,0.08218347232752085,0.32249999999999995,0.3571794871794872,0.07347972972972974,0.2505598407564071,0.449685534591195,0.0,0.0,0.036818339701285174,0.36289421672252303,0.007866381590082086,0.1248097412480974,0.15227629513343802,0.0631578947368421,0.018795386586928663,0.04000000000000001,0.6142857142857142,0.23744019138755978,0.035897435897435895,0.2639810426540284,0.05964912280701754,0.16068052930056712,0.1824884792626728,0.15377871295809226,0.1297631307929969,0.15581058726220012,0.14653098982423682,0.39395306859205775,0.4581095090000943,0.20448548812664907,0.07587822014051523,0.058808902150938695,0.16495713008258378,0.17901938426453817
8.39,0.1853035143769968,0.12282031842304776,0.38333333333333336,0.3538461538461538,0.08445945945945946,0.21572530480218963,0.41949685534591197,0.06220095693779905,0.06983240223463688,0.11184439041333796,0.0777262180974478,0.0024997091055259375,0.54337899543379,0.521193092621664,0.05263157894736842,0.018795386586928663,0.034146341463414644,0.5676691729323308,0.2033492822966507,0.03205128205128205,0.02559241706161137,0.05263157894736842,0.14177693761814744,0.09308755760368664,0.12081360687357531,0.24047373841400613,0.10644127377998344,0.06401480111008326,0.5171480144404332,0.4345490528696636,0.13984168865435356,0.0782201405152225,0.08268059181897303,0.13339645468413025,0.6579247434435577
8.07,0.1714589989350373,0.13115996967399546,0.25500000000000006,0.3571794871794872,0.05219594594594595,0.2505598407564071,0.449685534591195,0.08133971291866028,0.11592178770949721,0.036818339701285174,0.07729655409469795,0.0016518178260133704,0.08675799086757992,0.15227629513343802,0.11052631578947368,0.04656129859034601,0.03609756097560976,0.6581453634085213,0.12380382775119617,0.045512820512820504,0.08530805687203791,0.03684210526315789,0.10869565217391304,0.09654377880184332,0.11877958968963706,0.056528206888660025,0.08886476426799007,0.028122109158186866,0.38176895306859204,0.4599943454905287,0.1635883905013193,0.014519906323185013,0.07932363545940568,0.16495713008258378,0.26225769669327254
8.12,0.19169329073482427,0.13646702047005307,0.5479166666666666,0.3494871794871795,0.13361486486486487,0.22343866633490922,0.4009433962264151,0.05263157894736842,0.06284916201117319,0.036818339701285174,0.07729655409469795,0.0016518178260133704,0.08675799086757992,0.15227629513343802,0.05263157894736842,0.023067065356685172,0.034146341463414644,0.5288220551378446,0.12380382775119617,0.045512820512820504,0.02559241706161137,0.14736842105263157,0.1880907372400756,0.676036866359447,0.66070489216202,0.5723194873555326,0.009253515301902398,0.0666049953746531,0.1759927797833935,0.1537084157949298,0.20448548812664907,0.07587822014051523,0.07932363545940568,0.09420861606438377,0.3192702394526796
8.12,0.1597444089456869,0.1288855193328279,0.34166666666666673,0.3494871794871795,0.09839527027027029,0.24396616073650162,0.3163522012578617,0.06698564593301434,0.0782122905027933,0.1055922195206669,0.005650081636160523,0.0052218863713294405,0.46917808219178075,0.5957613814756673,0.05263157894736842,0.023067065356685172,0.0653658536585366,0.6142857142857142,0.16913875598086123,0.035897435897435895,0.2639810426540284,0.0031578947368421048,0.011342155009451795,0.676036866359447,0.66070489216202,0.5723194873555326,0.10773366418527709,0.0666049953746531,0.6389891696750903,0.3780039581566299,0.06279683377308706,0.05480093676814989,0.1818351361432301,0.16495713008258378,0.02622576966932727
7.65,0.15654952076677317,0.12282031842304776,0.3870833333333334,0.3494871794871795,0.09839527027027029,0.22343866633490922,0.449685534591195,0.06698564593301434,0.0782122905027933,0.1055922195206669,0.07729655409469795,0.0016518178260133704,0.08675799086757992,0.15227629513343802,0.0736842105263158,0.042289619820589486,0.0653658536585366,0.5288220551378446,0.12380382775119617,0.035897435897435895,0.2639810426540284,0.05456140350877192,0.15311909262759926,0.09654377880184332,0.66070489216202,0.056528206888660025,0.03230976013234078,0.3078630897317299,0.37274368231046934,0.365752520968806,0.1635883905013193,0.02388758782201405,0.07932363545940568,0.16495713008258378,0.23945267958950972
6.4,0.13631522896698617,0.12736921910538287,0.2891666666666666,0.2866666666666667,0.08234797297297297,0.2505598407564071,0.3163522012578617,0.05263157894736842,0.05027932960893854,0.036818339701285174,0.05473919395033085,0.003744274667851401,0.1248097412480974,0.14795918367346939,0.03157894736842105,0.0,0.031219512195121955,0.5288220551378446,0.12380382775119617,0.035897435897435895,0.028909952606635064,0.056140350877192984,0.1228733459357278,0.5571428571428572,0.24320533052779242,0.22173589655566994,0.3488937138130686,0.3078630897317299,0.26444043321299643,0.415700687965319,0.3720316622691293,0.07587822014051523,0.07932363545940568,0.2819946346851822,0.6727480045610035
9.38,0.15761448349307774,0.12736921910538287,0.3870833333333334,0.2717948717948718,0.0641891891891892,0.24396616073650162,0.3163522012578617,0.028708133971291867,0.05027932960893854,0.1055922195206669,0.08653433015381973,0.005768966319708894,0.08675799086757992,0.14795918367346939,0.0631578947368421,0.027338744126441692,0.10146341463414635,0.5839598997493733,0.08444976076555023,0.035897435897435895,0.2639810426540284,0.0031578947368421048,0.011342155009451795,0.1824884792626728,0.15377871295809226,0.1297631307929969,0.1555521091811414,0.11174838112858465,0.7247292418772564,0.6230327019131091,0.20448548812664907,0.11943793911007028,0.0795101330349372,0.32933564778286256,0.2896237172177879
8.09,0.17252396166134185,0.12585291887793784,0.3637500000000001,0.27666666666666667,0.15312500000000004,0.25105747698432446,0.4839622641509434,0.09688995215311004,0.10614525139664804,0.036818339701285174,0.07622239408782333,0.00780192201912499,0.1248097412480974,0.14795918367346939,0.061052631578947365,0.018795386586928663,0.04000000000000001,0.6203007518796992,0.06303827751196171,0.035897435897435895,0.08578199052132701,0.043333333333333335,0.12523629489603025,0.09331797235023041,0.19323163247413644,0.42141549376358844,0.03716914805624483,0.028122109158186866,0.3546931407942238,0.3874281406088022,0.20448548812664907,0.059484777517564404,0.049794852666915336,0.21492819946346853,0.2964652223489168
